Orthogroup	AaegyptiLVP_AGWG	AstephensiUCISS2018
OG0000207	AAEL027951, AAEL026297, AAEL007619	ASTEI20_034853
OG0000208	AAEL008259, AAEL027364	ASTEI20_045322
OG0000208	AAEL023637, AAEL008283	ASTEI20_034058
OG0000209	AAEL020200	ASTEI20_042301
OG0000210	AAEL022562, AAEL013032	ASTEI20_043190, ASTEI20_037248, ASTEI20_039456
OG0000211	AAEL021862	ASTEI20_037118, ASTEI20_041718, ASTEI20_039007
OG0000217	AAEL002994	ASTEI20_040200
OG0000217	AAEL001622	ASTEI20_036703
OG0000217	AAEL003013	ASTEI20_044284
OG0000218	AAEL001969	ASTEI20_038944
OG0000218	AAEL002028	ASTEI20_043383, ASTEI20_039263
OG0000219	AAEL002940	ASTEI20_041844
OG0000219	AAEL012431, AAEL010858, AAEL012430, AAEL024868, AAEL010853	ASTEI20_035108
OG0000220	AAEL002969, AAEL002959	ASTEI20_035755
OG0000220	AAEL002972	ASTEI20_037745
OG0000221	AAEL021590, AAEL003079	ASTEI20_038135
OG0000221	AAEL014371, AAEL008560	ASTEI20_037201
OG0000222	AAEL021010, AAEL019957	ASTEI20_035055
OG0000223	AAEL006487	ASTEI20_037771
OG0000223	AAEL006995	ASTEI20_031096
OG0000223	AAEL007016	ASTEI20_036943
OG0000224	AAEL006835	ASTEI20_038501
OG0000225	AAEL014413	ASTEI20_040100
OG0000225	AAEL014411, AAEL014412	ASTEI20_037793, ASTEI20_038611
